#       ID        X        Y       PA      INC      vs     vm     d   sig  psfx   psfz  smooth
CGr30_deep_45_o2   15.0   15.0   -30.0   55   0.0   80   2.0   0   2.792   38.0   2
CGr30_deep_67_o2   15.0   15.0   4.2   44   0.0   80   2.0   0   3.213   70.5   2
CGr30_deep_77_o2   15.0   15.0   -50.9   73   0.0   80   2.0   0   3.163   63.5   2
CGr30_deep_79_o2   15.0   15.0   -30.0   51   0.0   80   2.0   0   2.986   46.8   2
CGr30_deep_91_o2   15.0   15.0   -65.5   71   0.0   80   2.0   0   3.06   52.5   2
CGr30_deep_108_o2   15.0   15.0   -30.0   23   0.0   80   2.0   0   2.802   38.3   2
CGr30_deep_146_o2   15.0   15.0   -30.0   66   0.0   80   2.0   0   2.825   39.1   2
CGr30_deep_148_o2   15.0   15.0   -76.7   44   0.0   80   2.0   0   3.217   71.2   2
CGr30_deep_154_o2   15.0   15.0   -30.0   63   0.0   80   2.0   0   2.789   38.0   2
CGr30_deep_27_o2   15.0   15.0   -30.0   54   0.0   80   2.0   0   2.715   36.3   2
CGr30_deep_139_o2   15.0   15.0   -30.0   58   0.0   80   2.0   0   3.05   51.6   2
