#       ID        X        Y       PA      INC      vs     vm     d   sig  psfx   psfz  smooth
CGr30_bs_45_o2   15.0   15.0   -30.0   55   0.0   80   2.0   0   2.946   38.0   2
CGr30_bs_67_o2   15.0   15.0   4.2   44   0.0   80   2.0   0   3.441   70.5   2
CGr30_bs_77_o2   15.0   15.0   -50.9   73   0.0   80   2.0   0   3.383   63.5   2
CGr30_bs_79_o2   15.0   15.0   -30.0   51   0.0   80   2.0   0   3.174   46.8   2
CGr30_bs_91_o2   15.0   15.0   -65.5   71   0.0   80   2.0   0   3.261   52.5   2
CGr30_bs_108_o2   15.0   15.0   -30.0   23   0.0   80   2.0   0   2.958   38.3   2
CGr30_bs_146_o2   15.0   15.0   -30.0   66   0.0   80   2.0   0   2.986   39.1   2
CGr30_bs_148_o2   15.0   15.0   -76.7   44   0.0   80   2.0   0   3.446   71.2   2
CGr30_bs_154_o2   15.0   15.0   -30.0   63   0.0   80   2.0   0   2.943   38.0   2
CGr30_bs_27_o2   15.0   15.0   -30.0   54   0.0   80   2.0   0   2.856   36.3   2
CGr30_bs_139_o2   15.0   15.0   -30.0   58   0.0   80   2.0   0   3.25   51.6   2
